date,Hole Depth (MD) m,Bit Depth (MD) m,Block Position m,Mud Flow In L/min,Average Standpipe Pressure kPa,Average Hookload kkgf,Average Surface Torque kN.m,Average Rotary Speed rpm,Weight on Bit kkgf,Rate of Penetration m/h
2007-10-23 08:17:48,1371.619507,1371.524781,13.18500023,3515.96997,17019.75059,124.7240392,10.21250041,129.75,0.739294215,32.886396
2007-10-23 08:17:52,1371.64633,1371.64633,13.15500021,3515.96997,17028.00064,124.5532373,9.750000059,129.5,0.907547387,32.886396
2007-10-23 08:17:56,1371.674372,1371.586192,13.1200001,3515.96997,17036.75041,124.5226471,8.989999699,129.5,0.935589602,32.886396
2007-10-23 08:18:00,1371.715215,1371.624018,13.08000021,3515.96997,16986.24954,124.6679566,8.442500075,130.5,0.79537853,32.886396
2007-10-23 08:18:04,1371.728016,1371.550049,13.05000011,3515.96997,16917.99927,124.7826759,9.050000744,129,0.673012689,32.886396
2007-10-23 08:18:08,1371.790093,1371.729837,13.00833354,3515.96997,17054.0001,124.9662252,9.47000038,129.1666667,0.49796149,32.830008
2007-10-23 08:18:12,1371.808788,1371.640015,12.95999999,3515.96997,17130.00031,125.1497741,9.369999541,130,0.316112151,32.830008
2007-10-23 08:18:16,1371.863042,1371.766543,12.94499972,3515.96997,17094.75022,124.9585775,8.965000111,129.25,0.50730882,32.830008
2007-10-23 08:18:20,1371.891084,1371.805528,12.90250008,3515.744935,16981.74973,124.351841,9.107500306,129,1.10639219,32.8085196
2007-10-23 08:18:24,1371.945643,1371.852827,12.86000037,3515.669923,17047.00013,124.2167309,9.125000526,129.75,1.246603035,32.7870312
2007-10-23 08:18:28,1371.97277,1371.97277,12.84000023,3515.964966,17106.00052,124.3492931,9.265000253,129.5,1.116589287,32.7870312
2007-10-23 08:18:32,1371.99944,1371.90307,12.81500015,3516.297484,17094.75059,124.5022483,9.457499963,129.25,0.961082627,32.7870312
2007-10-23 08:18:36,1372.039826,1371.941749,12.75500035,3516.409911,17027.75001,124.5353906,9.620000168,129.75,0.922843089,32.7870312
2007-10-23 08:18:40,1372.053542,1371.890015,12.70999998,3516.409911,17161.99951,124.3136074,9.860000282,129,1.152279295,32.6937624
2007-10-23 08:18:44,1372.120497,1372.05356,12.69166657,3516.336588,17115.6662,124.4665598,9.545000161,129.6666667,0.999321749,32.6937624
2007-10-23 08:18:48,1372.139801,1371.959961,12.64000022,3515.96997,17039.99939,124.3339982,8.930000009,129,1.131884875,32.6937624
2007-10-23 08:18:52,1372.197408,1372.103709,12.61000036,3515.857544,16978.49999,124.4487175,9.46999925,129,1.017166942,32.7078594
2007-10-23 08:18:56,1372.226059,1372.133049,12.57000031,3515.70746,17097.50023,124.6705047,10.03999969,128.25,0.79537853,32.7501504
